Incident Date,Total Number of Dead and Missing,Coordinates
"Thu, 01/14/2021 , 12:00",1,"41.66195052, 26.70196999"
"Thu, 01/14/2021 , 12:00",1,"36.22571459, 36.50369628"
"Sat, 01/16/2021 , 12:00",1,"41.63564055, 26.4825442"
"Sat, 01/16/2021 , 12:00",1,"26.87387748, -17.29929642"
"Mon, 01/18/2021 , 12:00",3,"37.10608588, -1.75887675"
"Mon, 01/18/2021 , 12:00",4,"-17.8792941, -67.1556008"
"Tue, 01/19/2021 , 12:00",1,"38.93846832, 26.17608376"
"Tue, 01/19/2021 , 12:00",43,"32.97355156, 12.74816917"
"Tue, 01/19/2021 , 12:00",1,"27.2269872, -98.1441714"
"Wed, 01/20/2021 , 12:00",2,"27.63856693, -18.07442612"
"Wed, 01/20/2021 , 12:00",1,"27.41492993, -15.48831078"
"Wed, 01/20/2021 , 12:00",12,"23.73083158, -15.96033042"
"Fri, 01/22/2021 , 12:00",1,"26.06148611, -98.79338179"
"Fri, 01/22/2021 , 12:00",2,"26.06148611, -98.79338179"
"Fri, 01/22/2021 , 12:00",16,"26.06148611, -98.79338179"
"Sun, 01/24/2021 , 12:00",1,"37.2141382, 0.39183721"
"Sun, 01/24/2021 , 12:00",2,"33.03608223, 13.17554545"
"Sun, 01/24/2021 , 12:00",2,"33.03608223, 13.17554545"
"Sun, 01/24/2021 , 12:00",1,"33.03608223, 13.17554545"
"Sun, 01/24/2021 , 12:00",2,"33.03608223, 13.17554545"
"Sun, 01/24/2021 , 12:00",8,"33.03608223, 13.17554545"
"Sun, 01/24/2021 , 12:00",2,"33.03608223, 13.17554545"
"Sun, 01/24/2021 , 12:00",1,"10.9731583, -74.7804278"
"Sun, 01/24/2021 , 12:00",1,"20.4602715, -100.6224706"
"Mon, 01/25/2021 , 12:00",1,"9.635836971, -73.78683013"
"Tue, 01/26/2021 , 12:00",1,"28.4242507, -100.7646846"
"Tue, 01/26/2021 , 12:00",2,"35.42653878, -1.248246587"
"Tue, 01/26/2021 , 12:00",2,"32.9234588, 12.0775411"
"Tue, 01/26/2021 , 12:00",1,"35.8432765, -5.3610346"
"Wed, 01/27/2021 , 12:00",10,"6.174750949, -67.07825961"
"Wed, 01/27/2021 , 12:00",1,"35.89656931, -5.300574116"
"Fri, 01/29/2021 , 12:00",2,"32.7868817, 12.6934048"
"Fri, 01/29/2021 , 12:00",4,"32.79307166, 13.7144354"
"Fri, 01/29/2021 , 12:00",1,"41.88057683, 26.57182178"
"Fri, 01/29/2021 , 12:00",1,"26.1087466, -98.2652505"
"Fri, 01/29/2021 , 12:00",1,"32.54143422, -117.0448118"
"Sat, 01/30/2021 , 12:00",2,"41.8770148, 27.763265"
"Fri, 01/29/2021 , 12:00",1,"40.3197723, 21.4275888"
"Sun, 01/31/2021 , 12:00",1,"36.9436603, 7.2022727"
"Mon, 02/01/2021 , 12:00",1,"20.5087233, -100.8300976"
"Mon, 02/01/2021 , 12:00",1,"4.5971147, -74.0864237"
"Tue, 02/02/2021 , 12:00",2,"25.84591716, -97.37103277"
"Tue, 02/02/2021 , 12:00",1,"-19.2761393, -68.6388049"
"Tue, 02/02/2021 , 12:00",1,"-19.2761393, -68.6388049"
"Wed, 02/03/2021 , 12:00",1,"17.8307439, -93.3897441"
"Wed, 02/03/2021 , 12:00",1,"16.7124054, 98.5746649"
"Thu, 02/04/2021 , 12:00",6,"35.821783, -0.4831532"
"Fri, 02/05/2021 , 12:00",1,"10.4742449, -73.2436335"
"Fri, 02/05/2021 , 12:00",1,"32.90288617, 12.73580955"
"Fri, 02/05/2021 , 12:00",4,"32.90288617, 12.73580955"
"Fri, 02/05/2021 , 12:00",1,"32.78834106, 13.71186048"
"Sun, 02/07/2021 , 12:00",4,"36.1440934, -5.3417241"
"Sun, 02/07/2021 , 12:00",1,"35.86277284, -5.328762261"
"Mon, 02/08/2021 , 12:00",1,"28.713166, -100.5093583"
"Tue, 02/09/2021 , 12:00",1,"28.71317365, -100.5068478"
"Tue, 02/09/2021 , 12:00",3,"5.98740941, -57.1435619"
"Tue, 02/09/2021 , 12:00",1,"35.9, -5.3"
"Wed, 02/10/2021 , 12:00",1,"32.79973679, 12.78180512"
"Wed, 02/10/2021 , 12:00",8,"21.749173, 23.59269844"
"Wed, 02/10/2021 , 12:00",8,"21.749173, 23.59269844"
"Wed, 02/10/2021 , 12:00",2,"21.749173, 23.59269844"
"Sat, 02/13/2021 , 12:00",23,"35.57736051, 12.59360665"
"Sun, 02/14/2021 , 12:00",2,"36.441151, -3.603180343"
"Sun, 02/14/2021 , 12:00",1,"44.6145699, 17.9877428"
"Sun, 02/14/2021 , 12:00",2,"32.92755182, 12.10964178"
"Mon, 02/15/2021 , 12:00",1,"32.79441821, 12.56680102"
"Mon, 02/15/2021 , 12:00",1,"45.22064907, 16.54942905"
"Tue, 02/09/2021 , 12:00",2,"19.87079787, -71.40140185"
"Tue, 02/16/2021 , 12:00",1,"27.4790481, -99.4814057"
"Wed, 02/17/2021 , 12:00",1,"28.6805128, -100.5078173"
"Wed, 02/17/2021 , 12:00",1,"28.6805128, -100.5078173"
"Wed, 02/17/2021 , 12:00",2,"32.896939, 13.1708564"
"Thu, 02/18/2021 , 12:00",1,"32.0681759, 23.941751"
"Thu, 02/18/2021 , 12:00",1,"29.3222273, -103.2068216"
"Fri, 02/19/2021 , 12:00",2,"31.56960031, 17.38213959"
"Sat, 02/20/2021 , 12:00",1,"35.72722908, -0.644029953"
"Sun, 02/21/2021 , 12:00",1,"34.20213497, 13.04803315"
"Sun, 02/21/2021 , 12:00",1,"34.20213497, 13.04803315"
"Mon, 02/22/2021 , 12:00",4,"29.36820243, -103.7272989"
"Sat, 02/20/2021 , 12:00",1,"28.36796911, -99.30855138"
"Thu, 02/11/2021 , 12:00",1,"28.7019633, -100.5048585"
"Mon, 02/15/2021 , 12:00",10,"24.8240255, -80.8136783"
"Mon, 02/22/2021 , 12:00",1,"33.64056471, 13.25702465"
"Sat, 02/20/2021 , 12:00",41,"33.89263386, 13.55340424"
"Mon, 02/15/2021 , 12:00",3,"27.45546714, -80.05125773"
"Thu, 02/18/2021 , 12:00",1,"14.9364483, -92.265659"
"Tue, 02/16/2021 , 12:00",1,"6.2476376, -75.5658153"
"Sun, 02/21/2021 , 12:00",12,"35.41265243, 12.58948677"
"Thu, 02/11/2021 , 12:00",9,"12.03248116, 95.73547526"
"Sun, 02/28/2021 , 12:00",4,"33.14510556, 13.58488495"
"Sun, 02/28/2021 , 12:00",1,"33.14510556, 13.58488495"
"Sun, 02/28/2021 , 12:00",1,"33.14510556, 13.58488495"
"Sun, 02/28/2021 , 12:00",5,"33.14510556, 13.58488495"
"Sun, 02/28/2021 , 12:00",2,"33.14510556, 13.58488495"
"Sun, 02/28/2021 , 12:00",2,"33.14510556, 13.58488495"
"Sun, 02/28/2021 , 12:00",2,"35.11183029, 11.02745108"
"Wed, 02/24/2021 , 12:00",1,"34.7205723, 11.1407184"
"Sat, 03/13/2021 , 12:00",1,"32.53288558, -117.1233625"
"Mon, 02/15/2021 , 12:00",1,"8.378848547, -72.41203443"
"Sat, 02/27/2021 , 12:00",1,"27.4790538, -99.4814315"
"Mon, 03/01/2021 , 12:00",1,"28.65812669, -100.5017234"
"Fri, 02/26/2021 , 12:00",2,"28.70516695, -100.5113856"
"Mon, 02/22/2021 , 12:00",2,"35.26149447, -3.957496007"
"Wed, 03/03/2021 , 12:00",10,"32.78367772, -115.2984346"
"Wed, 03/03/2021 , 12:00",2,"32.78367772, -115.2984346"
"Wed, 03/03/2021 , 12:00",1,"32.78367772, -115.2984346"
"Tue, 03/02/2021 , 12:00",1,"35.27689538, -2.926136854"
"Tue, 03/02/2021 , 12:00",1,"35.2841725, -2.9381673"
"Tue, 03/02/2021 , 12:00",1,"35.302185, -2.9400548"
"Mon, 03/01/2021 , 12:00",1,"35.2841725, -2.9381673"
"Thu, 02/11/2021 , 12:00",2,"33.03083222, 12.12354635"
"Sat, 02/20/2021 , 12:00",1,"32.98310801, 13.27991557"
"Sat, 02/20/2021 , 12:00",3,"34.26454725, 13.31096023"
"Wed, 03/03/2021 , 12:00",20,"12.16601057, 43.54841709"
"Mon, 03/08/2021 , 12:00",5,"25.80390942, -15.7496197"
"Thu, 03/04/2021 , 12:00",1,"45.032077, 15.3995488"
"Fri, 03/05/2021 , 12:00",1,"41.65864073, 26.50448518"
"Tue, 03/02/2021 , 12:00",1,"43.7384169, 18.0261821"
"Fri, 02/19/2021 , 12:00",1,"-2.342606049, -73.07057192"
"Wed, 03/03/2021 , 12:00",1,"-22.73371516, -64.34982328"
"Wed, 03/03/2021 , 12:00",1,"-22.73371516, -64.34982328"
"Thu, 03/04/2021 , 12:00",2,"-22.73371516, -64.34982328"
"Mon, 03/01/2021 , 12:00",6,"11.8019444, -83.6502778"
"Tue, 03/09/2021 , 12:00",9,"34.84785849, 11.47959691"
"Mon, 03/08/2021 , 12:00",1,"35.2841725, -2.9381673"
"Mon, 02/15/2021 , 12:00",2,"27.45546714, -80.05125773"
"Mon, 02/15/2021 , 12:00",1,"27.45546714, -80.05125773"
"Mon, 02/22/2021 , 12:00",1,"19.55102318, -71.71226423"
"Wed, 03/03/2021 , 12:00",1,"50.9744772, 1.874738404"
"Tue, 03/09/2021 , 12:00",1,"17.37971317, -97.12385013"
"Wed, 03/10/2021 , 12:00",1,"31.7618778, -106.4850217"
"Tue, 03/09/2021 , 12:00",1,"19.7019462, -98.4585271"
"Sat, 03/13/2021 , 12:00",1,"32.57929447, -116.5934173"
"Sat, 03/13/2021 , 12:00",1,"35.9117892, -5.3570333"
"Sun, 03/07/2021 , 12:00",7,"-22.7361245, -64.3542692"
"Thu, 03/04/2021 , 12:00",6,"23.66049536, -80.38468176"
"Thu, 03/04/2021 , 12:00",1,"23.66049536, -80.38468176"
"Tue, 03/09/2021 , 12:00",1,"28.7125063, -100.5096557"
"Mon, 03/08/2021 , 12:00",1,"36.1812954, -5.4105286"
"Mon, 03/15/2021 , 12:00",8,"29.45061979, -100.9088278"
"Wed, 03/17/2021 , 12:00",1,"27.70936965, -15.60374223"
"Wed, 03/17/2021 , 12:00",1,"27.12327778, -15.62983476"
"Tue, 03/16/2021 , 12:00",1,"19.6044444, -98.3119444"
"Tue, 03/16/2021 , 12:00",2,"27.52306085, -99.52574841"
"Fri, 03/19/2021 , 12:00",3,"38.327214, 26.21029"
"Fri, 03/19/2021 , 12:00",1,"38.327214, 26.21029"
"Mon, 03/15/2021 , 12:00",1,"7.0773599, -73.1205348"
"Tue, 03/16/2021 , 12:00",1,"-19.2761393, -68.6388049"
"Wed, 03/17/2021 , 12:00",1,"7.830102197, -72.4508794"
"Wed, 03/17/2021 , 12:00",1,"-19.2761393, -68.6388049"
"Thu, 03/11/2021 , 12:00",1,"43.00343998, 22.83630671"
"Fri, 01/22/2021 , 12:00",1,"50.5522319, 2.370908"
"Thu, 02/04/2021 , 12:00",1,"50.334773, 3.440537"
"Mon, 02/01/2021 , 12:00",1,"50.9669534, 1.8710906"
"Sat, 03/20/2021 , 12:00",1,"28.7091433, -100.4995214"
"Sun, 03/21/2021 , 12:00",1,"28.0811553, -15.4167175"
"Wed, 03/03/2021 , 12:00",1,"25.0580555, -98.2641668"
"Fri, 03/12/2021 , 12:00",3,"20.7201324, -100.7597279"
"Fri, 03/12/2021 , 12:00",2,"20.7201324, -100.7597279"
"Tue, 03/23/2021 , 12:00",1,"32.52426274, -117.1234483"
"Mon, 03/22/2021 , 12:00",4,"45.24958796, 17.17982607"
"Sat, 03/27/2021 , 12:00",11,"37.5318128, -1.268730051"
"Sat, 03/27/2021 , 12:00",1,"32.2265083, -110.8547917"
"Tue, 03/23/2021 , 12:00",1,"-19.2761393, -68.6388049"
"Tue, 03/23/2021 , 12:00",1,"-19.27434383, -68.6202406"
"Fri, 03/26/2021 , 12:00",3,"28.15731175, -16.39298261"
"Tue, 03/09/2021 , 12:00",30,"34.84785849, 11.47959691"
"Sat, 03/13/2021 , 12:00",1,"36.53619081, 1.440914807"
"Tue, 03/16/2021 , 12:00",11,"35.96990433, -0.802334461"
"Fri, 03/26/2021 , 12:00",4,"34.29223478, 36.12228887"
"Tue, 03/30/2021 , 12:00",5,"32.87234592, 12.45293781"
"Sat, 04/03/2021 , 12:00",1,"35.76109319, -0.826158603"
"Sat, 04/03/2021 , 12:00",1,"35.07388561, -2.084353428"
"Thu, 03/18/2021 , 12:00",1,"33.066667, 12.2"
"Thu, 03/18/2021 , 12:00",1,"33.066667, 12.2"
"Thu, 03/18/2021 , 12:00",4,"33.066667, 12.2"
"Thu, 03/18/2021 , 12:00",60,"33.066667, 12.2"
"Mon, 04/05/2021 , 12:00",1,"25.675342, -100.319587"
"Mon, 04/05/2021 , 12:00",1,"28.097183, -14.070217"
"Sun, 04/04/2021 , 12:00",1,"35.916545, -5.371463"
"Wed, 03/10/2021 , 12:00",1,"32.999264, 12.295422"
"Thu, 03/11/2021 , 12:00",2,"32.999264, 12.295422"
"Mon, 04/05/2021 , 12:00",1,"41.323095, 26.494845"
"Tue, 04/06/2021 , 12:00",3,"41.708649, 26.360446"
"Sun, 04/11/2021 , 12:00",26,"25.69694464, -18.07531481"
"Thu, 04/01/2021 , 12:00",1,"26.203085, -98.445107"
"Sun, 04/11/2021 , 12:00",1,"35.345799, -3.883139"
"Fri, 04/09/2021 , 12:00",2,"8.775508839, -77.77647631"
"Fri, 04/09/2021 , 12:00",2,"8.775508839, -77.77647631"
"Tue, 03/16/2021 , 12:00",9,"27.63039322, -15.6991573"
"Sat, 04/03/2021 , 12:00",1,"32.36842579, -114.0338755"
"Sat, 04/10/2021 , 12:00",1,"28.50887928, -99.8698853"
"Tue, 04/06/2021 , 12:00",1,"27.18569377, -98.14724414"
"Tue, 04/13/2021 , 12:00",1,"28.68713093, -100.553353"
"Sun, 04/11/2021 , 12:00",1,"28.72296727, -100.508408"
"Fri, 04/09/2021 , 12:00",1,"28.72296727, -100.508408"
"Wed, 04/07/2021 , 12:00",1,"35.2856809, -2.937338527"
"Mon, 03/22/2021 , 12:00",1,"32.67217596, -115.4387852"
"Sun, 04/04/2021 , 12:00",1,"35.438993, -1.237177"
"Tue, 04/13/2021 , 12:00",1,"27.40052071, -99.47846336"
"Tue, 04/13/2021 , 12:00",1,"27.59686845, -99.53709649"
"Sun, 04/11/2021 , 12:00",6,"33.76566438, 11.02580782"
"Tue, 04/13/2021 , 12:00",1,"33.76566438, 11.02580782"
"Tue, 04/13/2021 , 12:00",1,"26.09530107, -98.27225471"
"Wed, 04/14/2021 , 12:00",1,"35.31422006, -2.944675914"
"Fri, 04/09/2021 , 12:00",1,"41.6738919, 26.46499074"
"Sat, 03/06/2021 , 12:00",5,"26.46974927, -78.71200025"
"Wed, 04/07/2021 , 12:00",1,"7.815909737, -72.45178395"
"Wed, 04/07/2021 , 12:00",1,"22.82009376, -102.5423641"
"Tue, 04/06/2021 , 12:00",1,"14.90541, -92.27885"
"Mon, 04/12/2021 , 12:00",44,"12.285716, 43.363376"
"Thu, 04/15/2021 , 12:00",41,"34.76811471, 10.85960062"
"Thu, 04/15/2021 , 12:00",1,"41.6738919, 26.46499074"
"Sat, 03/27/2021 , 12:00",4,"32.16098565, 22.28074552"
"Wed, 03/03/2021 , 12:00",25,"12.11374551, 42.11180794"
"Tue, 04/13/2021 , 12:00",1,"23.71304956, -15.91691136"
"Sat, 04/17/2021 , 12:00",1,"33.25433412, 11.49846374"
"Tue, 04/13/2021 , 12:00",1,"-16.48074, -68.21252"
"Wed, 04/14/2021 , 12:00",1,"15.01859246, -92.39962345"
"Tue, 04/13/2021 , 12:00",1,"11.09053697, -84.56062206"
"Tue, 04/20/2021 , 12:00",2,"17.66969471, -93.4777546"
"Mon, 04/19/2021 , 12:00",1,"52.307985, 4.753107"
"Sat, 04/17/2021 , 12:00",1,"27.28385151, -98.68701863"
"Fri, 04/16/2021 , 12:00",1,"26.1865678, -98.22579399"
"Thu, 04/15/2021 , 12:00",1,"26.65278451, -98.11397627"
"Fri, 04/16/2021 , 12:00",1,"14.84172051, -92.31793706"
"Wed, 04/21/2021 , 12:00",6,"19.70340863, 37.19738699"
"Wed, 04/21/2021 , 12:00",2,"32.94797295, 13.19404548"
"Thu, 04/22/2021 , 12:00",1,"32.86244029, 13.43844999"
"Thu, 04/22/2021 , 12:00",1,"32.79270254, 12.67244146"
"Sun, 04/18/2021 , 12:00",1,"43.34150604, -1.776485694"
"Sat, 04/24/2021 , 12:00",3,"35.81514383, -5.35131574"
"Sun, 04/04/2021 , 12:00",10,"19.37608604, -81.26624247"
"Mon, 04/26/2021 , 12:00",56,"23.447654, -18.151759"
"Tue, 04/27/2021 , 12:00",1,"-22.217558, 29.985716"
"Sun, 04/25/2021 , 12:00",2,"35.82318233, -5.352174047"
"Mon, 04/26/2021 , 12:00",1,"32.79270254, 12.67244146"
"Thu, 04/22/2021 , 12:00",1,"28.02611051, -99.54236303"
"Thu, 04/22/2021 , 12:00",128,"33.740667, 13.626167"
"Thu, 04/22/2021 , 12:00",2,"33.740667, 13.626167"
"Wed, 04/14/2021 , 12:00",1,"35.87318906, -5.342716102"
"Tue, 04/20/2021 , 12:00",9,"35.93540838, 0.074290332"
"Mon, 04/19/2021 , 12:00",3,"8.033327732, -72.41635263"
"Tue, 03/30/2021 , 12:00",1,"8.706681239, -77.58643695"
"Sun, 05/02/2021 , 12:00",11,"32.79270254, 12.67244146"
"Sun, 04/11/2021 , 12:00",1,"32.88479727, 13.15337754"
"Sat, 04/17/2021 , 12:00",1,"32.817824, 12.450931"
"Sun, 05/02/2021 , 12:00",4,"32.66161, -117.247942"
"Thu, 04/29/2021 , 12:00",1,"27.50628075, -97.84180735"
"Sat, 04/03/2021 , 12:00",1,"27.5226717, -99.52217022"
"Thu, 04/29/2021 , 12:00",1,"32.554722, -116.887778"
"Mon, 05/03/2021 , 12:00",1,"32.79270254, 12.67244146"
"Wed, 04/28/2021 , 12:00",1,"33.23136296, 11.490224"
"Thu, 04/29/2021 , 12:00",1,"35.78275109, -5.92968834"
"Sun, 05/02/2021 , 12:00",1,"36.99851907, 7.210512443"
"Thu, 04/22/2021 , 12:00",1,"26.25732783, -98.59817457"
"Fri, 04/23/2021 , 12:00",1,"28.72884175, -100.5094583"
"Sat, 04/24/2021 , 12:00",1,"28.70492867, -100.5123343"
"Sun, 04/25/2021 , 12:00",1,"29.32384331, -100.9195537"
"Mon, 04/26/2021 , 12:00",1,"28.70492867, -100.5123343"
"Tue, 04/27/2021 , 12:00",1,"28.70492867, -100.5123343"
"Mon, 05/03/2021 , 12:00",1,"41.6738919, 26.46499074"
"Tue, 02/09/2021 , 12:00",3,"32.45945037, 21.23736071"
"Sat, 02/06/2021 , 12:00",1,"25.0966877, 10.16817753"
"Thu, 02/11/2021 , 12:00",1,"30.01463107, 14.25008292"
"Fri, 02/19/2021 , 12:00",25,"26.06751439, 14.83350461"
"Sun, 02/28/2021 , 12:00",1,"26.1753112, 14.73691443"
"Wed, 03/03/2021 , 12:00",3,"32.95058308, 13.39071749"
"Sun, 03/07/2021 , 12:00",1,"24.93543295, 14.63298952"
"Thu, 03/18/2021 , 12:00",1,"24.93543295, 14.63298952"
"Mon, 04/05/2021 , 12:00",1,"24.93543295, 14.63298952"
"Fri, 04/23/2021 , 12:00",1,"26.07712504, -98.22456289"
"Wed, 05/05/2021 , 12:00",1,"14.89857673, -92.2712676"
"Tue, 05/04/2021 , 12:00",1,"29.36820243, -103.7272989"
"Tue, 05/04/2021 , 12:00",1,"28.68098753, -100.5076016"
"Sat, 04/03/2021 , 12:00",1,"28.79838818, -100.5363082"
"Sat, 05/01/2021 , 12:00",1,"7.91681734, -72.46274762"
"Sun, 05/09/2021 , 12:00",1,"32.79305271, 12.72579484"
"Fri, 05/07/2021 , 12:00",1,"41.256447, 26.336691"
"Sun, 05/09/2021 , 12:00",22,"32.90649949, 13.70553396"
"Sun, 05/09/2021 , 12:00",1,"17.81709183, -95.26888543"
"Mon, 05/10/2021 , 12:00",26,"32.79371255, 14.58251016"
"Mon, 05/10/2021 , 12:00",2,"32.94136633, 12.07871599"
"Wed, 05/12/2021 , 12:00",1,"32.79270254, 12.67244146"
"Thu, 05/13/2021 , 12:00",17,"33.5987042, 11.10679088"
"Mon, 05/17/2021 , 12:00",1,"35.87186947, -5.343137653"
"Mon, 05/17/2021 , 12:00",57,"34.15134555, 11.75184166"
"Wed, 05/12/2021 , 12:00",1,"26.92134737, -80.06269146"
"Sat, 01/30/2021 , 12:00",1,"32.55086017, -113.7245521"
"Wed, 05/19/2021 , 12:00",1,"35.76885, -1.17275"
"Wed, 05/19/2021 , 12:00",20,"33.72837934, -7.889767254"
"Tue, 05/25/2021 , 12:00",1,"35.7961508, -5.907919411"
"Mon, 05/17/2021 , 12:00",1,"32.817824, 12.450931"
"Fri, 05/21/2021 , 12:00",2,"32.79305271, 12.72579484"
"Sat, 05/22/2021 , 12:00",1,"32.94136633, 12.07871599"
"Sat, 05/22/2021 , 12:00",1,"32.79305271, 12.72579484"
"Sun, 05/23/2021 , 12:00",1,"32.99993552, 11.98125712"
"Mon, 05/24/2021 , 12:00",2,"32.99993552, 11.98125712"
"Sun, 05/23/2021 , 12:00",2,"41.24868623, 26.356414"
"Tue, 05/25/2021 , 12:00",1,"40.95705315, 26.63575014"
"Fri, 05/14/2021 , 12:00",1,"32.62844, -116.4721918"
"Thu, 05/06/2021 , 12:00",1,"7.916828413, -72.46265352"
"Thu, 04/22/2021 , 12:00",2,"3.439303091, -76.54750898"
"Sun, 05/02/2021 , 12:00",1,"28.3473325, -100.3153453"
"Tue, 05/11/2021 , 12:00",4,"16.13161001, -92.0644565"
"Mon, 05/10/2021 , 12:00",8,"-12.90967168, 45.07501499"
"Thu, 05/20/2021 , 12:00",1,"32.8478017, -117.2787884"
"Tue, 05/25/2021 , 12:00",1,"29.5071504, -98.57243481"
"Thu, 04/22/2021 , 12:00",17,"10.0202063, -61.96663946"
"Wed, 05/19/2021 , 12:00",1,"4.554452679, -74.15113013"
"Tue, 05/25/2021 , 12:00",1,"-17.816295, -69.187237"
"Sat, 05/22/2021 , 12:00",1,"30.8540853, -104.8845289"
"Tue, 05/25/2021 , 12:00",2,"33.7649018, 11.02566832"
"Wed, 05/26/2021 , 12:00",4,"33.7649018, 11.02566832"
"Thu, 05/27/2021 , 12:00",1,"33.7649018, 11.02566832"
"Tue, 06/01/2021 , 12:00",25,"34.15134555, 11.75184166"
"Sat, 05/22/2021 , 12:00",1,"35.88058358, -5.34191965"
"Thu, 05/20/2021 , 12:00",1,"35.87298041, -5.342553685"
"Fri, 05/07/2021 , 12:00",1,"32.94011015, 12.08667864"
"Wed, 06/02/2021 , 12:00",2,"33.133, 11.983"
"Sat, 05/29/2021 , 12:00",1,"35.75996332, -5.93752017"
"Tue, 06/01/2021 , 12:00",1,"32.51201959, -114.2335269"
"Tue, 06/01/2021 , 12:00",1,"32.44482662, -114.446387"
"Sun, 05/30/2021 , 12:00",3,"8.466724187, -77.69438886"
"Wed, 05/26/2021 , 12:00",1,"28.65989473, -99.83025098"
"Mon, 05/31/2021 , 12:00",1,"19.70339619, -98.45113375"
"Fri, 05/28/2021 , 12:00",1,"16.79811255, -91.20988585"
"Fri, 06/04/2021 , 12:00",1,"32.817824, 12.450931"
"Sun, 06/06/2021 , 12:00",1,"32.817824, 12.450931"
"Mon, 06/07/2021 , 12:00",1,"44.82494358, 15.83615663"
"Wed, 06/09/2021 , 12:00",1,"26.20468876, -98.5008908"
"Sun, 05/23/2021 , 12:00",1,"24.13731417, -15.58013699"
"Fri, 06/04/2021 , 12:00",1,"28.70601548, -100.5121682"
"Wed, 06/02/2021 , 12:00",1,"28.70601548, -100.5121682"
"Sat, 05/29/2021 , 12:00",1,"28.72383323, -100.5084339"
"Tue, 06/08/2021 , 12:00",1,"28.86035777, -100.5900667"
"Mon, 06/07/2021 , 12:00",1,"28.70601548, -100.5121682"
"Sat, 05/22/2021 , 12:00",1,"43.34206817, -1.775902345"
"Sun, 06/13/2021 , 12:00",2,"36.9389761, 11.10181266"
"Thu, 06/10/2021 , 12:00",1,"31.785267, -106.554545"
"Fri, 06/11/2021 , 12:00",1,"31.754475, -106.426"
"Sat, 06/12/2021 , 12:00",3,"20.87840169, 92.30923042"
"Sun, 06/13/2021 , 12:00",1,"20.87840169, 92.30923042"
"Mon, 06/14/2021 , 12:00",2,"20.87840169, 92.30923042"
"Thu, 06/17/2021 , 12:00",5,"29.238504, -13.442276"
"Sun, 06/13/2021 , 12:00",2,"32.99993552, 11.98125712"
"Mon, 06/14/2021 , 12:00",3,"33.04659627, 12.55254212"
"Tue, 06/15/2021 , 12:00",1,"32.817824, 12.450931"
"Sat, 06/19/2021 , 12:00",1,"32.817824, 12.450931"
"Sun, 06/06/2021 , 12:00",1,"8.463178375, -77.6973089"
"Tue, 06/08/2021 , 12:00",1,"-22.86132167, -68.09857265"
"Tue, 06/08/2021 , 12:00",1,"-22.91728654, -67.79674134"
"Wed, 06/09/2021 , 12:00",1,"27.38965142, -99.49302361"
"Thu, 06/10/2021 , 12:00",1,"7.158230103, -73.09444462"
